rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,year_s,shows,average_gross,ref
1,1,2,780000000,780000000,Taylor Swift,The Eras Tour †,2023–2024,56,13928571,[19]
2,1,7[2],579800000,579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,[13]
3,1[4],2[5],411000000,560622615,Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294,[26]
4,2[7],10[7],397300000,454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,[7]
5,2[4],10[7],345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,[18]
6,2[4],10[7],305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709,[19]
7,2[10],10[7],280000000,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,[11]
7,1,10[7],257600000,257600000,Pink,Summer Carnival †,2023–2024,41,6282927,[12]
9,1,10[7],256084556,312258401,Beyoncé,The Formation World Tour,2016,49,5226215,[13]
10,1,10[7],250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,[14]
11,1,10[7],253242278,283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606,[15][16]
12,1,14[17],227400000,295301479,Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227,[18]
13,1,10[7],204000000,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,[19]
14,1[20],10[7],200000000,299676265,Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385,[20]
15,2[c],10[7],194000000,281617035,Madonna,Confessions Tour,2006,60,3233333,[25]
16,1,10[7],184000000,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,[22]
17,1,10[7],170000000,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,[d]
18,1,10[7],169800000,207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732,[14]
19,1,10[7],253242278,204486106,Adele,Adele Live 2016,2016–2017,121,1385950,[25]
20,1,10[7],150000000,185423109,Taylor Swift,The MDNA Tour,2013–2014,86,1744186,[26]
