delivery_id,DeliveryID,order_id,OrderID,customer_id,CustomerID,carrier,Carrier,tracking_number,TrackingNum,dispatch_date,DispatchDate,estimated_delivery,EstimatedDelivery,actual_delivery,ActualDelivery,delivery_status,DeliveryStatus,delivery_attempts,Attempts,weight_kg,Weight,dimensions,Dimensions,delivery_address,DeliveryAddress,city,City,state,State,country,Country,signature_required,SignatureRequired,delivered_to,DeliveredTo,delivery_notes,SLA_met,SLAMet,return_initiated,ReturnInitiated,return_reason,tmp_del
DEL0000001,DEL0000001,ORD0003732,ORD0003732,CUST000003,,USPS,DHL,BJ344271423,TRK65079118,2021-12-23,2021-12-23,12/30/2021,2021-12-30,2021-12-24,2021-12-24,in_transit,Returned,1,3,71.6 lbs,34.18 kg,6x49x13 cm,6x49x13 cm,Phoenix,"Phoenix, CA",Phoenix,Phoenix,CA,NULL,N/A,DE,yes,Y,N/A,,∑ emoji 📦,Yes,Yes,yes,N,Not delivered,
DEL0000002,DEL0000002,ORD9254359,ORD9254359,CUST001061,CUST001061,N/A,FedEx,YR547690987,TRK96183875,2023-04-13,2023-04-13,04/19/2023,2023-04-19,04/14/2023,2023-04-14,delivered,Failed,5,4,880.0 g,30.38,5x47x18 cm,5x47x18 cm,4269 Ave Austin,"Austin, AZ",Austin,NULL,AZ,AZ,usa,DE,N,N,N/A,Recipient,<br/>handle with care,Yes,Yes,1,TRUE,Changed mind,
DEL0000003,DEL0000003,ORD0004332,ORD0004332,CUST001552,CUST001552,LaserShip,DHL,GX668622307,TRK47460244,08/27/2023,2023-08-27,2023-08-29,,09/07/2023,2023-09-07,Pending,In Transit,3,3,N/A,27600.0 g,35x40x8 cm,35x40x8 cm,"7347 Park St, Chcago, PA 12412","Chcago, PA",Chcago,Chcago,PA,PA,U.S.A,DE,no,N/A,Neighbor,Neighbor,Call before delivery,No,No,1,1,NULL,
DEL0000004,DEL0000004,ORD9787972,null,CUST001307,CUST001307,ups,UPS,HJ167686257,TRK89859605,04/12/2023,2023-04-12,20-04-2023,2023-04-20,05/02/2023,2023-05-02,pending,Delivered,3,2,39830.0 g,45020.0 g,NULL,21x52x27 cm,"8196 Main St, New York, TX 63573",4176 Dr New York,New York,New York,TX,TX,US,FR,No,true,Left at door,,<br/>handle with care,No,No,Yes,N,Wrong item,
DEL0000005,DEL0000005,ORD0004930,ORD0004930,CUST001532,CUST001532,USPS,USPS,NO649444925,TRK35243801,2022-08-28,2022-08-28,11-09-2022,2022-09-11,2022-08-30,NaN,Delivered,Delivered,1,5,260.0 g,39.92,19x54x16 cm,19x54x16 cm,"New Yrok, NY","New Yrok, NY",New Yrok,New Yrok,NY,NY,United States of America,FR,Y,0,null,Neighbor,Leave at door,Yes,Yes,Y,0,Changed mind,
DEL0000006,DEL0000006,ORD0004513,ORD0004513,CUST001071,CUST001071,FedEx,DHL,ED976271822,TRK14932332,2020-10-21,2020-10-21,N/A,2020-10-29,NaN,,Returned,Delivered,5,2,40.46,27.36,20x53x7 cm,20x53x7 cm,"Londn, NY",Londn,Londn,Londn,NY,NY,US,IN,no,false,null,,Fragile,No,No,No,N,Not delivered,
DEL0000007,null,ORD0002149,ORD0002149,CUST000319,CUST000319,UPS,USPS,NaN,TRK39512574,2022-02-12,2022-02-12,2022-02-22,2022-02-22,02/21/2022,2022-02-21,pending,In Transit,4,5,75.39 lbs,17.6 kg,33x11x26 cm,33x11x26 cm,Londn,"4591 Elm St, Londn, TX 69202",Londn,Londn,TX,TX,U.S.A,FR,N,0,Reception,,Leave at door,Yes,Yes,FALSE,FALSE,Damaged,
DEL0000008,DEL0000008,ORD0000619,ORD0000619,CUST000462,CUST000462,OnTrac,FedEx,CU844377950,TRK40350984,09/20/2023,2023-09-20,2023-09-28,2023-09-28,2023-09-21,2023-09-21,pending,,5,NaN,36.43,19.39,54x43x4 cm,N/A,Austin,Austin,Austin,Austin,CA,CA,United States of America,FR,0,Yes,N/A,,Call before delivery,Yes,Yes,yes,1,Changed mind,
DEL0000009,DEL0000009,ORD0004706,ORD0004706,CUST001963,CUST001963,FedEx,UPS,IX746109562,TRK83816144,01/25/2022,2022-01-25,02/05/2022,2022-02-05,02/12/2022,2022-02-12,delivered,Failed,2,1,17.25,42.66 kg,null,9x25x14 cm,"3438 Lake St, New York, TX 51727","3821 Oak St, New York, TX 12954",New York,New York,TX,TX,U.S.A,JP,FALSE,yes,N/A,Recipient,<br/>handle with care,No,No,TRUE,N,,
DEL0000010,DEL0000010,ORD0000104,N/A,CUST001601,CUST001601,USPS,DHL,EA486465432,TRK52720921,01-04-2021,2021-04-01,04/03/2021,2021-04-03,N/A,2021-04-07,Returned,In Transit,1,2,,41.28 kg,40x15x6 cm,40x15x6 cm,7168 Dr New Yrok,3768 Blvd New Yrok,New Yrok,New Yrok,TX,TX,United States,JP,Y,Yes,N/A,,,No,No,yes,FALSE,,
